       0 | 13084
    1000 | 4187242
    2000 | 10847407
    3000 | 4156076
    4000 | 4297985
    5000 | 5727884
    6000 | 8658921
    7000 | 10921972
    8000 | 13501532
    9000 | 15530998
   10000 | 19843731
   11000 | 21810897
   12000 | 29951684
   13000 | 37140036
   14000 | 36207520
   15000 | 45948452
   16000 | 49056956
   17000 | 55923234
   18000 | 56297814
   19000 | 60788559
   20000 | 71474867
   21000 | 81619024
   22000 | 79140397
   23000 | 87420921
   24000 | 88630861
   25000 | 104298848
   26000 | 112169816
   27000 | 116836704
   28000 | 120075719
   29000 | 134288629
   30000 | 160422788
   31000 | 160368582
   32000 | 160724971
   33000 | 166378943
   34000 | 181539638
   35000 | 192024540
   36000 | 202575856
   37000 | 240613487
   38000 | 234067642
   39000 | 249812902
   40000 | 256101566
   41000 | 274947882
   42000 | 280051080
   43000 | 295728700
   44000 | 332326137
   45000 | 344304337
   46000 | 343549924
   47000 | 368087652
   48000 | 408830708
   49000 | 391245542
   50000 | 413345256
   51000 | 435363089
   52000 | 438428292
   53000 | 464740441
   54000 | 479885556
   55000 | 508544853
   56000 | 517987414
   57000 | 550568563
   58000 | 563967114
   59000 | 591712105
   60000 | 611825666
   61000 | 627284662
   62000 | 641060320
   63000 | 662758825
   64000 | 682081783
   65000 | 709663961
   66000 | 743210377
   67000 | 757104273
   68000 | 789896154
   69000 | 811031785
   70000 | 856694677
   71000 | 854326029
   72000 | 879800782
   73000 | 903462942
   74000 | 943052646
   75000 | 953446795
   76000 | 999652595
   77000 | 1019446262
   78000 | 1051224926
   79000 | 1063204171
   80000 | 1101306643
   81000 | 1148012850
   82000 | 1284138322
   83000 | 1239248461
   84000 | 1260656239
   85000 | 1237485658
   86000 | 1253953595
   87000 | 1297871707
   88000 | 1352808128
   89000 | 1360276347
   90000 | 1384643257
   91000 | 1423275933
   92000 | 1450872909
   93000 | 1483297265
   94000 | 1511388681
   95000 | 1555324555
   96000 | 1578621208
   97000 | 1595926946
   98000 | 1795311978
   99000 | 1743968688
  100000 | 1768115058
  101000 | 1811939173
  102000 | 1847234290
  103000 | 1899657509
  104000 | 1902365793
  105000 | 1935041155
  106000 | 1987321558
  107000 | 2025022439
  108000 | 2047312448
  109000 | 2100749301
  110000 | 2143918151
  111000 | 2188308867
  112000 | 2225061051
  113000 | 2251593296
  114000 | 2296064429
  115000 | 2341354659
  116000 | 2395544298
  117000 | 2428654522
  118000 | 2452100515
  119000 | 2502359551
  120000 | 2551991713
  121000 | 2584129575
  122000 | 2637319852
  123000 | 2677421382
  124000 | 2728399615
  125000 | 2749399402
  126000 | 2806481751
  127000 | 2883269701
  128000 | 2904082132
  129000 | 3107629168
  130000 | 3043949183
  131000 | 3001540946
  132000 | 3035344520
  133000 | 3108527382
  134000 | 3187535075
  135000 | 3381177992
  136000 | 3299773731
  137000 | 3413270135
  138000 | 3403706084
  139000 | 3470191578
  140000 | 3508830661
  141000 | 3562427348
  142000 | 3574364464
  143000 | 3566029538
  144000 | 3744420636
  145000 | 3732901808
  146000 | 3713636853
  147000 | 3746965367
  148000 | 3924648071
  149000 | 3974966509
  150000 | 3976933803
  151000 | 3981612317
  152000 | 4086797384
  153000 | 4165301743
  154000 | 4224389802
  155000 | 4271539769
  156000 | 4395557984
  157000 | 4402306265
  158000 | 4384997392
  159000 | 4423524415
  160000 | 4614452601
  161000 | 4648354060
  162000 | 4750510543
  163000 | 4731191817
  164000 | 4845159896
  165000 | 4836144303
  166000 | 4737979458
  167000 | 4979017994
  168000 | 5184473131
  169000 | 5207236309
  170000 | 5376726759
  171000 | 5358848513
  172000 | 5335139167
  173000 | 5412131571
  174000 | 5510370556
  175000 | 5616945054
  176000 | 5756319707
  177000 | 5752251970
  178000 | 5768718501
  179000 | 5715837758
  180000 | 5556302185
  181000 | 5622983324
  182000 | 5661832766
  183000 | 5957309410
  184000 | 6100404358
  185000 | 6188188293
  186000 | 6356896329
  187000 | 6329864200
  188000 | 6410453341
  189000 | 6420639504
  190000 | 6560541668
  191000 | 6780617647
  192000 | 6673822310
  193000 | 6698842971
  194000 | 6560507616
  195000 | 7011939456
  196000 | 7112546813
  197000 | 7501078327
  198000 | 7236519877
  199000 | 7486362971
  200000 | 7540736383
  201000 | 7356529990
